Lot identifier,Lot name,Bidder number,Amount,Bid type,Status,Placed at,Bidder id
53, I2830069 TRUCK FLAT D/SIDE 5-TON TATA LPT1116 F9431 (2010),24,"68,000",maxbid,outbid,2025-02-06 01:42:16PM SAST,2704143
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),4,"60,000",manual,accepted,2025-02-06 01:42:14PM SAST,1919665
32,I3370497 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2DWTE 3240 (2016),14,"14,250",manual,accepted,2025-02-06 01:42:14PM SAST,2704130
68,"A1400037 EXCAVATOR CRAWLER 20T JCB JS200SC M012997 (2010) Quantity: 1 unit, 5812 HRS, ",22,"122,500",manual,accepted,2025-02-06 01:42:12PM SAST,2704140
34,I3420313 TRUCK LDV 4X2 ISUZU D-MAX 250 WTE4041 (2021),27,"68,000",manual,accepted,2025-02-06 01:42:11PM SAST,2704156
51,S2170019 CRANE MOBILE TADANO TL250E 25 TON H0536 (2012),25,"130,000",manual,accepted,2025-02-06 01:42:08PM SAST,1899895
68,"A1400037 EXCAVATOR CRAWLER 20T JCB JS200SC M012997 (2010) Quantity: 1 unit, 5812 HRS, ",30,"120,000",auto,accepted,2025-02-06 01:42:08PM SAST,2704162
68,"A1400037 EXCAVATOR CRAWLER 20T JCB JS200SC M012997 (2010) Quantity: 1 unit, 5812 HRS, ",22,"120,000",manual,rejected,2025-02-06 01:42:08PM SAST,2704140
30,3110028 TRUCK LDV 4X2 MANHINDRA BOLERO 2.5D M061589 (2014),24,"23,000",auto,accepted,2025-02-06 01:42:07PM SAST,2704143
30,3110028 TRUCK LDV 4X2 MANHINDRA BOLERO 2.5D M061589 (2014),60,"22,750",manual,outbid,2025-02-06 01:42:07PM SAST,2704400
26,: I2710048 BUS MINI 17 SEAT M/BENZ SPRINTER 308CDI M013220 (2009,61,"39,500",manual,sold,2025-02-06 01:42:07PM SAST,1530197
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),18,"72,000",manual,accepted,2025-02-06 01:42:07PM SAST,2704134
68,"A1400037 EXCAVATOR CRAWLER 20T JCB JS200SC M012997 (2010) Quantity: 1 unit, 5812 HRS, ",30,"117,500",auto,accepted,2025-02-06 01:42:05PM SAST,2704162
68,"A1400037 EXCAVATOR CRAWLER 20T JCB JS200SC M012997 (2010) Quantity: 1 unit, 5812 HRS, ",22,"115,000",manual,outbid,2025-02-06 01:42:05PM SAST,2704140
53, I2830069 TRUCK FLAT D/SIDE 5-TON TATA LPT1116 F9431 (2010),4,"55,000",manual,accepted,2025-02-06 01:42:04PM SAST,1919665
62,2870010 BUS PASSENGER 35-SEAT TATA LPO918 F9497 (2011),16,"67,000",manual,accepted,2025-02-06 01:42:03PM SAST,2704132
42, I3040061 TRUCK LDV 4X2 NISSAN NP300 K03 2.5TDI M045957 (2011),17,"48,000",manual,accepted,2025-02-06 01:42:03PM SAST,1898511
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),34,"71,000",manual,accepted,2025-02-06 01:42:00PM SAST,2704195
56, I283-0027 TATA SIDE/D,24,"57,000",auto,accepted,2025-02-06 01:42:00PM SAST,2704143
56, I283-0027 TATA SIDE/D,24,"67,000",maxbid,outbid,2025-02-06 01:42:00PM SAST,2704143
44,I3040113 TRUCK LDV 4X2 NISSAN NP300 K03 2.5TDI M045582 (2012),17,"47,500",manual,accepted,2025-02-06 01:42:00PM SAST,1898511
56, I283-0027 TATA SIDE/D,40,"56,000",manual,accepted,2025-02-06 01:41:59PM SAST,2704214
68,"A1400037 EXCAVATOR CRAWLER 20T JCB JS200SC M012997 (2010) Quantity: 1 unit, 5812 HRS, ",30,"112,500",auto,accepted,2025-02-06 01:41:58PM SAST,2704162
68,"A1400037 EXCAVATOR CRAWLER 20T JCB JS200SC M012997 (2010) Quantity: 1 unit, 5812 HRS, ",22,"110,000",auto,outbid,2025-02-06 01:41:58PM SAST,2704140
68,"A1400037 EXCAVATOR CRAWLER 20T JCB JS200SC M012997 (2010) Quantity: 1 unit, 5812 HRS, ",22,"110,000",maxbid,outbid,2025-02-06 01:41:58PM SAST,2704140
35,I3370617 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2D M085412 (2016),7,"19,750",manual,accepted,2025-02-06 01:41:57PM SAST,2703983
36,I3370641 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2 M061251,60,"14,000",manual,accepted,2025-02-06 01:41:56PM SAST,2704400
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),18,"70,000",manual,accepted,2025-02-06 01:41:54PM SAST,2704134
46,I2350114 TRUCK LDV 4X2 TOYOTA HILUX 1 TON E8686 (2002),33,"62,000",manual,sold,2025-02-06 01:41:54PM SAST,2704190
65,D6800106 TRUCK TANKER WATER 14000L M085063 (2014),17,"167,500",manual,accepted,2025-02-06 01:41:52PM SAST,1898511
35,I3370617 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2D M085412 (2016),60,"19,500",manual,accepted,2025-02-06 01:41:49PM SAST,2704400
11,F2320010 Pump Multi-Stage Matherplatt 150-200G L3684 (1982),43,"19,000",manual,accepted,2025-02-06 01:41:47PM SAST,2704220
68,"A1400037 EXCAVATOR CRAWLER 20T JCB JS200SC M012997 (2010) Quantity: 1 unit, 5812 HRS, ",30,"94,000",auto,accepted,2025-02-06 01:41:44PM SAST,2704162
68,"A1400037 EXCAVATOR CRAWLER 20T JCB JS200SC M012997 (2010) Quantity: 1 unit, 5812 HRS, ",22,"93,000",manual,outbid,2025-02-06 01:41:44PM SAST,2704140
33,: I3370657 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2D M061253 (2016),28,"16,750",manual,accepted,2025-02-06 01:41:40PM SAST,2704157
59, I2830051 TRUCK FLAT D/SIDE 5-TON TATA LPT116 F9428 (2010),24,"23,500",auto,accepted,2025-02-06 01:41:40PM SAST,2704143
59, I2830051 TRUCK FLAT D/SIDE 5-TON TATA LPT116 F9428 (2010),61,"23,250",manual,outbid,2025-02-06 01:41:40PM SAST,1530197
56, I283-0027 TATA SIDE/D,24,"55,000",manual,accepted,2025-02-06 01:41:40PM SAST,2704143
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),34,"69,000",manual,accepted,2025-02-06 01:41:37PM SAST,2704195
32,I3370497 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2DWTE 3240 (2016),22,"14,000",manual,accepted,2025-02-06 01:41:35PM SAST,2704140
56, I283-0027 TATA SIDE/D,61,"54,000",manual,accepted,2025-02-06 01:41:35PM SAST,1530197
32,I3370497 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2DWTE 3240 (2016),60,"13,750",manual,accepted,2025-02-06 01:41:34PM SAST,2704400
53, I2830069 TRUCK FLAT D/SIDE 5-TON TATA LPT1116 F9431 (2010),24,"54,000",manual,accepted,2025-02-06 01:41:33PM SAST,2704143
35,I3370617 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2D M085412 (2016),7,"19,250",manual,accepted,2025-02-06 01:41:33PM SAST,2703983
58,D1900064 TRUCK TIPPER TOYOTA 13135 4.5 M3 F5639 (1997,21,"100,000",manual,accepted,2025-02-06 01:41:33PM SAST,2704139
11,F2320010 Pump Multi-Stage Matherplatt 150-200G L3684 (1982),47,"18,750",manual,accepted,2025-02-06 01:41:33PM SAST,2704233
56, I283-0027 TATA SIDE/D,24,"53,000",manual,accepted,2025-02-06 01:41:31PM SAST,2704143
33,: I3370657 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2D M061253 (2016),60,"16,500",manual,accepted,2025-02-06 01:41:31PM SAST,2704400
68,"A1400037 EXCAVATOR CRAWLER 20T JCB JS200SC M012997 (2010) Quantity: 1 unit, 5812 HRS, ",30,"92,000",auto,accepted,2025-02-06 01:41:31PM SAST,2704162
68,"A1400037 EXCAVATOR CRAWLER 20T JCB JS200SC M012997 (2010) Quantity: 1 unit, 5812 HRS, ",30,"120,000",maxbid,outbid,2025-02-06 01:41:31PM SAST,2704162
32,I3370497 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2DWTE 3240 (2016),14,"13,500",manual,accepted,2025-02-06 01:41:29PM SAST,2704130
59, I2830051 TRUCK FLAT D/SIDE 5-TON TATA LPT116 F9428 (2010),24,"23,000",auto,accepted,2025-02-06 01:41:27PM SAST,2704143
59, I2830051 TRUCK FLAT D/SIDE 5-TON TATA LPT116 F9428 (2010),61,"22,750",manual,outbid,2025-02-06 01:41:27PM SAST,1530197
32,I3370497 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2DWTE 3240 (2016),22,"13,250",manual,accepted,2025-02-06 01:41:26PM SAST,2704140
35,I3370617 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2D M085412 (2016),47,"19,000",manual,accepted,2025-02-06 01:41:26PM SAST,2704233
65,D6800106 TRUCK TANKER WATER 14000L M085063 (2014),3,"165,000",auto,accepted,2025-02-06 01:41:24PM SAST,2704023
65,D6800106 TRUCK TANKER WATER 14000L M085063 (2014),17,"162,500",manual,outbid,2025-02-06 01:41:24PM SAST,1898511
58,D1900064 TRUCK TIPPER TOYOTA 13135 4.5 M3 F5639 (1997,25,"99,000",manual,accepted,2025-02-06 01:41:24PM SAST,1899895
40, I2880171 TRUCK LDV 4X2 NISSAN HARDBODY 2.5TDI M011379 (2010),32,"56,000",manual,accepted,2025-02-06 01:41:23PM SAST,2704176
56, I283-0027 TATA SIDE/D,61,"52,000",manual,accepted,2025-02-06 01:41:23PM SAST,1530197
32,I3370497 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2DWTE 3240 (2016),60,"13,000",manual,accepted,2025-02-06 01:41:22PM SAST,2704400
44,I3040113 TRUCK LDV 4X2 NISSAN NP300 K03 2.5TDI M045582 (2012),27,"47,000",manual,accepted,2025-02-06 01:41:22PM SAST,2704156
53, I2830069 TRUCK FLAT D/SIDE 5-TON TATA LPT1116 F9431 (2010),61,"53,000",manual,accepted,2025-02-06 01:41:19PM SAST,1530197
47,C390013 LOADER SKIDSTEER BOBCAT S150 M012965 (2010),34,"69,000",manual,sold,2025-02-06 01:41:18PM SAST,2704195
63, D6770024 TRUCK TANKER DIESEL 6000L L3461 (2013),33,"39,500",auto,accepted,2025-02-06 01:41:18PM SAST,2704190
63, D6770024 TRUCK TANKER DIESEL 6000L L3461 (2013),24,"39,000",manual,outbid,2025-02-06 01:41:18PM SAST,2704143
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),34,"59,000",manual,accepted,2025-02-06 01:41:17PM SAST,2704195
57,: D1810057 TRUCK TIPPER M/BENZ 1413K-32 4 L2945 (2011),25,"157,500",manual,sold,2025-02-06 01:41:15PM SAST,1899895
63, D6770024 TRUCK TANKER DIESEL 6000L L3461 (2013),33,"38,500",auto,accepted,2025-02-06 01:41:15PM SAST,2704190
63, D6770024 TRUCK TANKER DIESEL 6000L L3461 (2013),24,"38,000",manual,outbid,2025-02-06 01:41:15PM SAST,2704143
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),18,"68,000",manual,accepted,2025-02-06 01:41:15PM SAST,2704134
32,I3370497 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2DWTE 3240 (2016),22,"12,750",manual,accepted,2025-02-06 01:41:13PM SAST,2704140
36,I3370641 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2 M061251,47,"13,750",manual,accepted,2025-02-06 01:41:13PM SAST,2704233
58,D1900064 TRUCK TIPPER TOYOTA 13135 4.5 M3 F5639 (1997,21,"98,000",manual,accepted,2025-02-06 01:41:12PM SAST,2704139
60, I2870145 BUS PASSENGER 35-SEAT TATA LPO918 M027412 (2012),18,"78,000",manual,accepted,2025-02-06 01:41:10PM SAST,2704134
33,: I3370657 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2D M061253 (2016),28,"16,250",manual,accepted,2025-02-06 01:41:10PM SAST,2704157
34,I3420313 TRUCK LDV 4X2 ISUZU D-MAX 250 WTE4041 (2021),4,"67,000",manual,accepted,2025-02-06 01:41:09PM SAST,1919665
32,I3370497 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2DWTE 3240 (2016),60,"12,500",manual,accepted,2025-02-06 01:41:09PM SAST,2704400
51,S2170019 CRANE MOBILE TADANO TL250E 25 TON H0536 (2012),34,"127,500",manual,accepted,2025-02-06 01:41:09PM SAST,2704195
63, D6770024 TRUCK TANKER DIESEL 6000L L3461 (2013),33,"37,500",auto,accepted,2025-02-06 01:41:08PM SAST,2704190
63, D6770024 TRUCK TANKER DIESEL 6000L L3461 (2013),49,"37,000",manual,outbid,2025-02-06 01:41:08PM SAST,2258764
57,: D1810057 TRUCK TIPPER M/BENZ 1413K-32 4 L2945 (2011),17,"155,000",manual,accepted,2025-02-06 01:41:06PM SAST,1898511
32,I3370497 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2DWTE 3240 (2016),22,"12,250",manual,accepted,2025-02-06 01:41:04PM SAST,2704140
58,D1900064 TRUCK TIPPER TOYOTA 13135 4.5 M3 F5639 (1997,25,"97,000",manual,accepted,2025-02-06 01:41:03PM SAST,1899895
34,I3420313 TRUCK LDV 4X2 ISUZU D-MAX 250 WTE4041 (2021),27,"66,000",manual,accepted,2025-02-06 01:41:02PM SAST,2704156
33,: I3370657 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2D M061253 (2016),60,"16,000",manual,accepted,2025-02-06 01:41:02PM SAST,2704400
26,: I2710048 BUS MINI 17 SEAT M/BENZ SPRINTER 308CDI M013220 (2009,31,"39,000",manual,accepted,2025-02-06 01:41:01PM SAST,2704166
62,2870010 BUS PASSENGER 35-SEAT TATA LPO918 F9497 (2011),34,"66,000",manual,accepted,2025-02-06 01:41:00PM SAST,2704195
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),49,"67,000",manual,accepted,2025-02-06 01:40:59PM SAST,2258764
60, I2870145 BUS PASSENGER 35-SEAT TATA LPO918 M027412 (2012),34,"77,000",manual,accepted,2025-02-06 01:40:58PM SAST,2704195
31, I3370417 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2D WTE 3186 (2016),60,"20,250",manual,accepted,2025-02-06 01:40:55PM SAST,2704400
51,S2170019 CRANE MOBILE TADANO TL250E 25 TON H0536 (2012),25,"125,000",manual,accepted,2025-02-06 01:40:54PM SAST,1899895
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),34,"66,000",manual,accepted,2025-02-06 01:40:53PM SAST,2704195
52, D5060028 TRUCK TRACTOR M/BENZ 3343S/L CHR B8568 (1999),25,"170,000",manual,sold,2025-02-06 01:40:52PM SAST,1899895
40, I2880171 TRUCK LDV 4X2 NISSAN HARDBODY 2.5TDI M011379 (2010),27,"55,000",manual,accepted,2025-02-06 01:40:52PM SAST,2704156
26,: I2710048 BUS MINI 17 SEAT M/BENZ SPRINTER 308CDI M013220 (2009,61,"38,500",manual,accepted,2025-02-06 01:40:51PM SAST,1530197
33,: I3370657 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2D M061253 (2016),28,"15,750",manual,accepted,2025-02-06 01:40:50PM SAST,2704157
26,: I2710048 BUS MINI 17 SEAT M/BENZ SPRINTER 308CDI M013220 (2009,31,"38,000",manual,accepted,2025-02-06 01:40:48PM SAST,2704166
40, I2880171 TRUCK LDV 4X2 NISSAN HARDBODY 2.5TDI M011379 (2010),17,"54,000",manual,accepted,2025-02-06 01:40:44PM SAST,1898511
31, I3370417 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2D WTE 3186 (2016),47,"20,000",manual,accepted,2025-02-06 01:40:44PM SAST,2704233
26,: I2710048 BUS MINI 17 SEAT M/BENZ SPRINTER 308CDI M013220 (2009,61,"37,500",manual,accepted,2025-02-06 01:40:42PM SAST,1530197
58,D1900064 TRUCK TIPPER TOYOTA 13135 4.5 M3 F5639 (1997,21,"96,000",manual,accepted,2025-02-06 01:40:40PM SAST,2704139
57,: D1810057 TRUCK TIPPER M/BENZ 1413K-32 4 L2945 (2011),25,"152,500",manual,accepted,2025-02-06 01:40:39PM SAST,1899895
40, I2880171 TRUCK LDV 4X2 NISSAN HARDBODY 2.5TDI M011379 (2010),27,"53,000",manual,accepted,2025-02-06 01:40:35PM SAST,2704156
47,C390013 LOADER SKIDSTEER BOBCAT S150 M012965 (2010),4,"68,000",manual,accepted,2025-02-06 01:40:34PM SAST,1919665
30,3110028 TRUCK LDV 4X2 MANHINDRA BOLERO 2.5D M061589 (2014),24,"22,500",auto,accepted,2025-02-06 01:40:31PM SAST,2704143
42, I3040061 TRUCK LDV 4X2 NISSAN NP300 K03 2.5TDI M045957 (2011),27,"47,500",manual,accepted,2025-02-06 01:40:31PM SAST,2704156
30,3110028 TRUCK LDV 4X2 MANHINDRA BOLERO 2.5D M061589 (2014),60,"22,250",manual,outbid,2025-02-06 01:40:31PM SAST,2704400
40, I2880171 TRUCK LDV 4X2 NISSAN HARDBODY 2.5TDI M011379 (2010),32,"52,000",manual,accepted,2025-02-06 01:40:28PM SAST,2704176
47,C390013 LOADER SKIDSTEER BOBCAT S150 M012965 (2010),41,"67,000",manual,accepted,2025-02-06 01:40:27PM SAST,2704216
42, I3040061 TRUCK LDV 4X2 NISSAN NP300 K03 2.5TDI M045957 (2011),17,"47,000",manual,accepted,2025-02-06 01:40:27PM SAST,1898511
30,3110028 TRUCK LDV 4X2 MANHINDRA BOLERO 2.5D M061589 (2014),24,"22,000",auto,accepted,2025-02-06 01:40:26PM SAST,2704143
30,3110028 TRUCK LDV 4X2 MANHINDRA BOLERO 2.5D M061589 (2014),60,"21,750",manual,outbid,2025-02-06 01:40:26PM SAST,2704400
47,C390013 LOADER SKIDSTEER BOBCAT S150 M012965 (2010),4,"66,000",manual,accepted,2025-02-06 01:40:25PM SAST,1919665
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),4,"58,000",manual,accepted,2025-02-06 01:40:24PM SAST,1919665
30,3110028 TRUCK LDV 4X2 MANHINDRA BOLERO 2.5D M061589 (2014),24,"21,500",auto,accepted,2025-02-06 01:40:22PM SAST,2704143
30,3110028 TRUCK LDV 4X2 MANHINDRA BOLERO 2.5D M061589 (2014),60,"21,250",manual,outbid,2025-02-06 01:40:22PM SAST,2704400
40, I2880171 TRUCK LDV 4X2 NISSAN HARDBODY 2.5TDI M011379 (2010),27,"51,000",manual,accepted,2025-02-06 01:40:21PM SAST,2704156
51,S2170019 CRANE MOBILE TADANO TL250E 25 TON H0536 (2012),34,"122,500",manual,accepted,2025-02-06 01:40:20PM SAST,2704195
68,"A1400037 EXCAVATOR CRAWLER 20T JCB JS200SC M012997 (2010) Quantity: 1 unit, 5812 HRS, ",22,"91,000",manual,accepted,2025-02-06 01:40:17PM SAST,2704140
47,C390013 LOADER SKIDSTEER BOBCAT S150 M012965 (2010),34,"65,000",manual,accepted,2025-02-06 01:40:16PM SAST,2704195
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),18,"65,000",manual,accepted,2025-02-06 01:40:16PM SAST,2704134
34,I3420313 TRUCK LDV 4X2 ISUZU D-MAX 250 WTE4041 (2021),4,"65,000",manual,accepted,2025-02-06 01:40:16PM SAST,1919665
56, I283-0027 TATA SIDE/D,24,"51,000",manual,accepted,2025-02-06 01:40:15PM SAST,2704143
57,: D1810057 TRUCK TIPPER M/BENZ 1413K-32 4 L2945 (2011),17,"150,000",manual,accepted,2025-02-06 01:40:15PM SAST,1898511
47,C390013 LOADER SKIDSTEER BOBCAT S150 M012965 (2010),41,"64,000",manual,accepted,2025-02-06 01:40:13PM SAST,2704216
40, I2880171 TRUCK LDV 4X2 NISSAN HARDBODY 2.5TDI M011379 (2010),32,"50,000",auto,accepted,2025-02-06 01:40:12PM SAST,2704176
40, I2880171 TRUCK LDV 4X2 NISSAN HARDBODY 2.5TDI M011379 (2010),17,"49,500",manual,outbid,2025-02-06 01:40:12PM SAST,1898511
51,S2170019 CRANE MOBILE TADANO TL250E 25 TON H0536 (2012),22,"120,000",manual,accepted,2025-02-06 01:40:12PM SAST,2704140
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),34,"57,000",manual,accepted,2025-02-06 01:40:12PM SAST,2704195
53, I2830069 TRUCK FLAT D/SIDE 5-TON TATA LPT1116 F9431 (2010),24,"52,000",manual,accepted,2025-02-06 01:40:10PM SAST,2704143
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),49,"64,000",manual,accepted,2025-02-06 01:40:10PM SAST,2258764
47,C390013 LOADER SKIDSTEER BOBCAT S150 M012965 (2010),34,"63,000",manual,accepted,2025-02-06 01:40:09PM SAST,2704195
57,: D1810057 TRUCK TIPPER M/BENZ 1413K-32 4 L2945 (2011),25,"147,500",manual,accepted,2025-02-06 01:40:08PM SAST,1899895
51,S2170019 CRANE MOBILE TADANO TL250E 25 TON H0536 (2012),25,"117,500",manual,accepted,2025-02-06 01:40:07PM SAST,1899895
62,2870010 BUS PASSENGER 35-SEAT TATA LPO918 F9497 (2011),54,"65,000",manual,accepted,2025-02-06 01:40:06PM SAST,2704319
46,I2350114 TRUCK LDV 4X2 TOYOTA HILUX 1 TON E8686 (2002),41,"61,000",manual,accepted,2025-02-06 01:40:06PM SAST,2704216
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),4,"56,000",manual,accepted,2025-02-06 01:40:06PM SAST,1919665
53, I2830069 TRUCK FLAT D/SIDE 5-TON TATA LPT1116 F9431 (2010),61,"51,000",manual,accepted,2025-02-06 01:40:05PM SAST,1530197
47,C390013 LOADER SKIDSTEER BOBCAT S150 M012965 (2010),4,"62,000",manual,accepted,2025-02-06 01:40:05PM SAST,1919665
51,S2170019 CRANE MOBILE TADANO TL250E 25 TON H0536 (2012),34,"115,000",manual,accepted,2025-02-06 01:40:04PM SAST,2704195
34,I3420313 TRUCK LDV 4X2 ISUZU D-MAX 250 WTE4041 (2021),27,"64,000",manual,accepted,2025-02-06 01:40:04PM SAST,2704156
57,: D1810057 TRUCK TIPPER M/BENZ 1413K-32 4 L2945 (2011),17,"145,000",manual,accepted,2025-02-06 01:40:04PM SAST,1898511
46,I2350114 TRUCK LDV 4X2 TOYOTA HILUX 1 TON E8686 (2002),33,"60,000",auto,accepted,2025-02-06 01:40:03PM SAST,2704190
46,I2350114 TRUCK LDV 4X2 TOYOTA HILUX 1 TON E8686 (2002),41,"59,000",manual,outbid,2025-02-06 01:40:03PM SAST,2704216
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),18,"63,000",manual,accepted,2025-02-06 01:40:02PM SAST,2704134
47,C390013 LOADER SKIDSTEER BOBCAT S150 M012965 (2010),41,"61,000",manual,accepted,2025-02-06 01:40:02PM SAST,2704216
44,I3040113 TRUCK LDV 4X2 NISSAN NP300 K03 2.5TDI M045582 (2012),17,"46,500",manual,accepted,2025-02-06 01:40:01PM SAST,1898511
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),34,"55,000",manual,accepted,2025-02-06 01:40:01PM SAST,2704195
26,: I2710048 BUS MINI 17 SEAT M/BENZ SPRINTER 308CDI M013220 (2009,31,"37,000",manual,accepted,2025-02-06 01:40:00PM SAST,2704166
46,I2350114 TRUCK LDV 4X2 TOYOTA HILUX 1 TON E8686 (2002),33,"58,000",auto,accepted,2025-02-06 01:39:59PM SAST,2704190
46,I2350114 TRUCK LDV 4X2 TOYOTA HILUX 1 TON E8686 (2002),41,"57,000",manual,outbid,2025-02-06 01:39:59PM SAST,2704216
51,S2170019 CRANE MOBILE TADANO TL250E 25 TON H0536 (2012),25,"112,500",manual,accepted,2025-02-06 01:39:57PM SAST,1899895
36,I3370641 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2 M061251,60,"13,500",manual,accepted,2025-02-06 01:39:55PM SAST,2704400
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),49,"62,000",manual,accepted,2025-02-06 01:39:55PM SAST,2258764
60, I2870145 BUS PASSENGER 35-SEAT TATA LPO918 M027412 (2012),18,"76,000",manual,accepted,2025-02-06 01:39:54PM SAST,2704134
57,: D1810057 TRUCK TIPPER M/BENZ 1413K-32 4 L2945 (2011),25,"142,500",manual,accepted,2025-02-06 01:39:54PM SAST,1899895
30,3110028 TRUCK LDV 4X2 MANHINDRA BOLERO 2.5D M061589 (2014),24,"21,000",auto,accepted,2025-02-06 01:39:53PM SAST,2704143
30,3110028 TRUCK LDV 4X2 MANHINDRA BOLERO 2.5D M061589 (2014),24,"25,000",maxbid,outbid,2025-02-06 01:39:53PM SAST,2704143
35,I3370617 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2D M085412 (2016),60,"18,750",manual,accepted,2025-02-06 01:39:53PM SAST,2704400
47,C390013 LOADER SKIDSTEER BOBCAT S150 M012965 (2010),34,"60,000",manual,accepted,2025-02-06 01:39:50PM SAST,2704195
26,: I2710048 BUS MINI 17 SEAT M/BENZ SPRINTER 308CDI M013220 (2009,61,"36,500",manual,accepted,2025-02-06 01:39:50PM SAST,1530197
33,: I3370657 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2D M061253 (2016),60,"15,500",manual,accepted,2025-02-06 01:39:50PM SAST,2704400
60, I2870145 BUS PASSENGER 35-SEAT TATA LPO918 M027412 (2012),49,"75,000",manual,accepted,2025-02-06 01:39:49PM SAST,2258764
35,I3370617 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2D M085412 (2016),47,"18,500",manual,accepted,2025-02-06 01:39:48PM SAST,2704233
25,I2710072 BUS MINI 17 SEAT M/BENZ SPRINTER 308CDI A51780 (2009,61,"21,250",manual,sold,2025-02-06 01:39:47PM SAST,1530197
34,I3420313 TRUCK LDV 4X2 ISUZU D-MAX 250 WTE4041 (2021),4,"63,000",manual,accepted,2025-02-06 01:39:47PM SAST,1919665
57,: D1810057 TRUCK TIPPER M/BENZ 1413K-32 4 L2945 (2011),34,"140,000",manual,accepted,2025-02-06 01:39:44PM SAST,2704195
30,3110028 TRUCK LDV 4X2 MANHINDRA BOLERO 2.5D M061589 (2014),60,"20,750",manual,accepted,2025-02-06 01:39:44PM SAST,2704400
60, I2870145 BUS PASSENGER 35-SEAT TATA LPO918 M027412 (2012),25,"74,000",manual,accepted,2025-02-06 01:39:43PM SAST,1899895
34,I3420313 TRUCK LDV 4X2 ISUZU D-MAX 250 WTE4041 (2021),27,"62,000",manual,accepted,2025-02-06 01:39:39PM SAST,2704156
58,D1900064 TRUCK TIPPER TOYOTA 13135 4.5 M3 F5639 (1997,25,"95,000",manual,accepted,2025-02-06 01:39:38PM SAST,1899895
11,F2320010 Pump Multi-Stage Matherplatt 150-200G L3684 (1982),43,"18,500",manual,accepted,2025-02-06 01:39:37PM SAST,2704220
30,3110028 TRUCK LDV 4X2 MANHINDRA BOLERO 2.5D M061589 (2014),24,"20,500",manual,accepted,2025-02-06 01:39:36PM SAST,2704143
57,: D1810057 TRUCK TIPPER M/BENZ 1413K-32 4 L2945 (2011),25,"137,500",manual,accepted,2025-02-06 01:39:35PM SAST,1899895
58,D1900064 TRUCK TIPPER TOYOTA 13135 4.5 M3 F5639 (1997,21,"94,000",manual,accepted,2025-02-06 01:39:31PM SAST,2704139
34,I3420313 TRUCK LDV 4X2 ISUZU D-MAX 250 WTE4041 (2021),4,"61,000",manual,accepted,2025-02-06 01:39:31PM SAST,1919665
56, I283-0027 TATA SIDE/D,61,"50,000",manual,accepted,2025-02-06 01:39:31PM SAST,1530197
52, D5060028 TRUCK TRACTOR M/BENZ 3343S/L CHR B8568 (1999),17,"167,500",manual,accepted,2025-02-06 01:39:29PM SAST,1898511
